2015-06-23 12:08:22 [INFO ] root:33 	Running TARANTULA
2015-06-23 12:08:24 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4558053423318301829.trace
2015-06-23 12:08:24 [DEBUG] root:61 	-cp
2015-06-23 12:08:24 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\javaparser\bin
2015-06-23 12:08:24 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 12:08:24 [DEBUG] root:61 	-methods
2015-06-23 12:08:24 [DEBUG] root:61 	japa.parser.ast.test.TestIssue46.testCommentsIssue46
2015-06-23 12:08:49 [INFO ] root:33 	Slicing-slicing...
2015-06-23 12:08:49 [DEBUG] root:61 	traceFilePath= C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4558053423318301829.trace
2015-06-23 12:08:49 [INFO ] root:33 	entry points= japa.parser.ast.test.TestIssue46:19
2015-06-23 12:09:01 [DEBUG] root:61 	Read Slicing Result:
2015-06-23 12:09:01 [DEBUG] root:61 	slicing-result:
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:920
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:919
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:922
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:918
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1731
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1733
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1734
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1735
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1736
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1727
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1729
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1730
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:405
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4998
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1752
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1742
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9800
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9806
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:604
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9805
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1745
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9804
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:401
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1764
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4819
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:288
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:291
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4821
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4807
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:5001
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4999
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:4809
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1756
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2311
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:415
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1759
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2313
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:5003
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9788
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1760
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2314
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.test.Helper:62
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:579
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.test.Helper:66
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:407
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:577
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:309
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:307
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:408
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.test.Helper:58
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:330
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.test.Helper:77
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:326
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.test.Helper:70
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:321
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:315
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2226
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7593
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2220
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:340
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2232
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2231
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:335
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2227
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7576
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7579
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2236
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:560
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:562
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:362
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:347
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:348
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7590
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7573
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2198
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:476
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2196
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:222
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7570
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9900
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2202
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2199
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9901
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2200
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2189
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7565
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9903
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2190
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7566
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2187
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9905
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7564
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2188
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:230
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:223
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2192
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2214
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:510
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2212
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7556
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7555
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1597
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1600
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1599
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2216
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2215
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1601
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1130
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:246
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2203
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2210
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2208
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2207
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9930
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2165
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9933
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2168
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:528
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9934
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:529
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2169
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2170
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:530
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9938
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2157
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9935
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9936
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaParser:94
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:535
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9941
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaParser:81
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:269
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:424
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:421
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaParser:75
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2174
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaParser:76
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:416
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaParser:77
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2175
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:434
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:432
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9960
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2130
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2127
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2154
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2153
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:448
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2149
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9943
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:176
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6669
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6939
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9955
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6668
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9958
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9957
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6936
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:454
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6935
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:453
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2140
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6938
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:452
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9954
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6937
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1131
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1132
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1133
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1134
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1677
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:459
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1137
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9992
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1139
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1144
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2120
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:479
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:490
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:481
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9990
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:9989
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:483
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1512
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1513
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1514
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1507
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:678
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1510
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:676
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1504
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1500
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:1502
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:384
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:117
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6718
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6717
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:108
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:110
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:377
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:382
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:647
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:648
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:628
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:614
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6796
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7326
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2055
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6797
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:611
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:67
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2054
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:69
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:64
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:606
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:604
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7329
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:60
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:61
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:56
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:58
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:57
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:590
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:588
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:318
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:317
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7345
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:314
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:99
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:98
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:106
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:97
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.CompilationUnit:108
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:303
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:98
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:572
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:95
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:92
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:568
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:290
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:570
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:2065
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:7381
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ast.CompilationUnit:82
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:204
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:520
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:521
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:200
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:524
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser$GTToken:203
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:260
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:196
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:259
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:198
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:263
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser$GTToken:198
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:2004
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6852
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6853
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:208
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:210
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6832
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:6831
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:170
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:167
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParserTokenManager:293
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:8261
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:8256
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.JavaCharStream:163
2015-06-23 12:09:01 [DEBUG] root:61 	japa.parser.ASTParser:8255
